City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Weinan,CN,52.83,light rain,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
474,Riyadh,SA,73.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
475,Bergerac,FR,53.78,clear sky,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
478,Les Cayes,HT,75.7,scattered clouds,18.2,-73.75,Villa Orphee
479,Tibu,CO,73.38,overcast clouds,8.639,-72.7358,Hotel Yuliana's
480,Port Lincoln,AU,69.66,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
483,Vila Franca Do Campo,PT,57.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
485,Carbonia,IT,41.65,scattered clouds,39.1672,8.5222,Lu 'Hotel
487,Juripiranga,BR,76.39,scattered clouds,-7.3733,-35.2381,Casa de Pedro Hugo Machado
489,Saint Anthony,US,52.97,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
491,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
495,Shache,CN,57.51,clear sky,38.4167,77.2406,Delong Hotel
496,Ajdabiya,LY,50.27,clear sky,30.7554,20.2263,Almadina Hotel
497,Sinazongwe,ZM,71.17,overcast clouds,-17.2614,27.4618,Lakeview Lodge
501,Lahad Datu,MY,77.05,overcast clouds,5.0268,118.327,The 27th House
507,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
509,Iralaya,HN,77.59,overcast clouds,15.0,-83.2333,Iglesia morava renovada
514,Podor,MR,71.55,clear sky,16.6527,-14.9587,Auberge Du Tékrour
515,San Vicente,AR,56.32,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
518,Jos,NG,77.31,overcast clouds,9.9167,8.9,Silk Suites
521,Havoysund,NO,46.63,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
522,Touros,BR,77.56,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
523,Lata,PT,51.93,overcast clouds,40.1629,-8.3327,Casa Maquia
524,Santiago,CL,62.85,clear sky,-33.4569,-70.6483,Hotel Panamericano
526,Madison Heights,US,43.05,clear sky,42.4859,-83.1052,Red Roof Inn Detroit - Warren
529,Hofn,IS,40.41,overcast clouds,64.2539,-15.2082,Hótel Höfn
530,Gat,IL,53.4,broken clouds,31.61,34.7642,OlusHome
535,Sawakin,SD,76.19,clear sky,19.1059,37.3321,فندق الدويم
536,Coahuayana,MX,68.13,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
538,Shakawe,BW,69.8,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
539,Koscierzyna,PL,40.84,clear sky,54.1223,17.9812,Bazuny Hotel & SPA Kaszuby
541,El Tigre,VE,72.46,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
542,Owando,CG,70.09,light rain,-0.4819,15.8999,Exaunel Hotel Owando
543,Vila Velha,BR,72.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
544,Lake Havasu City,US,66.81,scattered clouds,34.4839,-114.3224,Heat Hotel
546,Mount Gambier,AU,69.71,broken clouds,-37.8333,140.7667,The Commodore
547,Cockburn Town,TC,77.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
548,Puerto Escondido,MX,78.94,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
549,Khash,IR,73.09,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
551,Wuda,CN,48.87,clear sky,39.4994,106.7117,Grape Sightseeing Garden
553,Prince Rupert,CA,42.89,light rain,54.3161,-130.3201,Crest Hotel
554,Nichinan,JP,56.88,overcast clouds,31.6,131.3667,Guest House Aki
559,Marawi,PH,73.76,light rain,7.9986,124.2928,Derogongan Residence
562,Graaff-Reinet,ZA,69.4,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
563,Kasaoka,JP,59.58,overcast clouds,34.5,133.5,Kasaoka Grand Hotel
567,Luau,AO,69.66,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
568,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
569,Ipixuna,BR,72.5,overcast clouds,-1.7625,-48.8043,Chalé do Mato
571,Pahrump,US,55.83,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
572,Tarauaca,BR,71.11,overcast clouds,-8.1614,-70.7656,Flat Temporada
574,Buchanan,LR,77.47,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
575,Bahia Honda,CU,75.15,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
579,Xining,CN,44.74,overcast clouds,36.6167,101.7667,Super Leisure Hotel
580,Gazojak,TM,45.7,broken clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
585,Morgan City,US,53.6,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
588,Carballo,ES,55.87,broken clouds,43.213,-8.691,Pazo do Souto
591,Cabra,ES,49.1,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
594,Shahreza,IR,62.98,overcast clouds,32.0339,51.8794,خوابگاه
595,Hauterive,FR,47.16,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
596,Katesh,TZ,65.55,broken clouds,-4.5167,35.3833,Colt Guest House
600,Farafenni,GM,70.9,broken clouds,13.5667,-15.6,Eddy's Hotel
601,Narbonne,FR,51.76,light rain,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
604,Pacific Grove,US,53.28,clear sky,36.6177,-121.9166,Lovers Point Inn
606,Guatire,VE,74.19,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
608,Rosa Zarate,EC,73.08,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
611,Bafra,TR,43.3,broken clouds,41.5678,35.9069,Sevgi Otel
612,Bouillante,GP,73.36,scattered clouds,16.1304,-61.7692,Gîtes Dardanelle
613,Manaus,BR,75.69,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
617,Marsaxlokk,MT,50.61,few clouds,35.8419,14.5431,Water's Edge
619,Santa Lucia,ES,51.94,few clouds,27.9117,-15.5407,Las Tirajanas
621,De Haan,BE,42.78,clear sky,51.272,3.0429,Hotel Alizee
622,Comodoro Rivadavia,AR,60.66,light rain,-45.8667,-67.5,Austral Hotel
623,Eureka,US,45.75,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
